#,No. expediente,Parte actora,Parte demandada,Parte notificada,Fecha de  publicación,Síntesis,Sala,Magistrado,Secretario,Expediente
1,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",25-02-2025,"Se da cuenta con el oficio depositado en la administración de correos de México en la Ciudad de México e ingresado el 10/02/2025 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el cual el Secretario Adjunto de Acuerdos de la Segunda Sección de la Sala Superior de este Tribunal, solicita se informe el estado procesal del presente juicio. Se informa que los autos ya fueron remitidos.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
2,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",25-02-2025,"Se da cuenta con el oficio depositado en la administración de correos de México en la Ciudad de México e ingresado el 10/02/2025 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el cual el Secretario Adjunto de Acuerdos de la Segunda Sección de la Sala Superior de este Tribunal, solicita se informe el estado procesal del presente juicio. Se informa que los autos ya fueron remitidos.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
3,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",25-02-2025,"Apreciando de autos que no existen cuestiones pendientes por resolver, ni pruebas que desahogar; en consecuencia, se declara cerrada la instrucción.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
4,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",25-02-2025,"Apreciando de autos que no existen cuestiones pendientes por resolver, ni pruebas que desahogar; en consecuencia, se declara cerrada la instrucción.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
5,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",25-02-2025,Apreciando de autos que no existen cuestiones pendientes por resolver. Se remiten los autos originales que integran el presente juicio a la Segunda Sección de la Sala Superior de este Tribunal para los efectos legales a que haya lugar.,PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
6,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",25-02-2025,Apreciando de autos que no existen cuestiones pendientes por resolver. Se remiten los autos originales que integran el presente juicio a la Segunda Sección de la Sala Superior de este Tribunal para los efectos legales a que haya lugar.,PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
7,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,20-02-2025,"Se da cuenta con el oficio depositado en la administración de correos de México en la Ciudad de México e ingresado el 10/02/2025 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el cual el Secretario Adjunto de Acuerdos de la Segunda Sección de la Sala Superior de este Tribunal, solicita se informe el estado procesal del presente juicio. Se informa que los autos ya fueron remitidos.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
8,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,20-02-2025,"Apreciando de autos que no existen cuestiones pendientes por resolver, ni pruebas que desahogar; en consecuencia, se declara cerrada la instrucción.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
9,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,20-02-2025,Apreciando de autos que no existen cuestiones pendientes por resolver. Se remiten los autos originales que integran el presente juicio a la Segunda Sección de la Sala Superior de este Tribunal para los efectos legales a que haya lugar.,PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
10,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",18-02-2025,"Se da cuenta con el oficio presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 07/02/2025, por la autoridad demandada. Se tienen por presentados los alegatos de su parte, los cuáles se tomarán en cuenta en el momento de dictar sentencia.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
